Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,911,0,3,2.800856327113051,1.8151790000047185,12.230117000001428,263.0,15.426146039564339,0.0,3,3,3,3,3,4,5,5,12,12,12
,Aggregated,911,0,3,2.800856327113051,1.8151790000047185,12.230117000001428,263.0,15.426146039564339,0.0,3,3,3,3,3,4,5,5,12,12,12
